,characters,losses,transfers,network_cost
0,K22132,9.0,1.0,10.0
1,K00332,2.0,3.0,5.0
2,K00681,6.0,5.0,11.0
3,K15034,1.0,4.0,5.0
4,K14393,1.0,1.0,2.0
5,K00333,2.0,3.0,5.0
6,K03152,8.0,1.0,9.0
7,K01880,3.0,3.0,6.0
8,K08296,2.0,2.0,4.0
9,K03072,4.0,0.0,4.0
10,K01902,3.0,4.0,7.0
11,K03816,3.0,5.0,8.0
12,K01878,5.0,1.0,6.0
13,K07137,7.0,0.0,7.0
14,K03615,6.0,2.0,8.0
15,K06999,1.0,2.0,3.0
16,K06204,3.0,5.0,8.0
17,K03617,6.0,1.0,7.0
18,K00610,2.0,5.0,7.0
19,K00242,2.0,2.0,4.0
20,K00989,1.0,4.0,5.0
21,K01879,5.0,1.0,6.0
22,K01920,0.0,1.0,1.0
23,K00963,4.0,0.0,4.0
24,K03750,6.0,2.0,8.0
25,K00252,3.0,1.0,4.0
26,K00658,1.0,2.0,3.0
27,K00121,3.0,1.0,4.0
28,K06891,2.0,3.0,5.0
29,K00970,0.0,3.0,3.0
30,K00982,0.0,1.0,1.0
31,K05786,4.0,5.0,9.0
32,K00362,5.0,2.0,7.0
33,K03782,1.0,1.0,2.0
34,K04759,9.0,3.0,12.0
35,K01006,6.0,2.0,8.0
36,K09791,3.0,2.0,5.0
37,K06916,2.0,2.0,4.0
38,K03169,6.0,3.0,9.0
39,K00651,3.0,6.0,9.0
40,K09157,2.0,7.0,9.0
41,K07390,0.0,1.0,1.0
42,K01061,4.0,3.0,7.0
43,K03976,5.0,1.0,6.0
44,K00459,11.0,0.0,11.0
